Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
New York,Photography,1951,Ernst Haas,American,Male,1921,1986
Untitled from Four Short Stories,Prints & Illustrated Books,2004,Christopher Wool,American,Male,1955,1975
"Canoeists in a Boat Cave, Wisconsin Dells",Photography,1892,Henry Hamilton Bennett,American,Male,1843,1908
Untitled from Woodcuts,Prints & Illustrated Books,2011,Thomas Schütte,German,Male,1954,1975
Untitled,Drawings,1950,Jackson Pollock,American,Male,1912,1956
Versailles,Photography,1920,Eugène Atget,French,Male,1857,1927
"THE DROWNED WOMAN (plate 39, 2nd supplementary suite) from FABLES",Prints & Illustrated Books,1939,Marc Chagall,French,Male,1887,1985
In-text plate (page 62) from L'ÉVANGILE,Prints & Illustrated Books,1948,Léo Marchutz,French,Male,1903,1976
New England,Photography,1910,Lewis W. Hine,American,Male,1874,1940
Plate (folio 15) from LABYRINTY,Prints & Illustrated Books,1959,Jirí Balcar,Czech,Male,1929,1968
Small Wooden Zitar #3,Prints & Illustrated Books,1970,Joe Jones,American,Male,1934,1993
Mercury Passing in Front of the Sun,Drawings,1914,Giacomo Balla,Italian,Male,1871,1958
Pacing Upside Down,Media and Performance Art,1969,Bruce Nauman,American,Male,1941,1975
Tailpiece (page 109) from FLORILÈGE DES AMOURS,Prints & Illustrated Books,1944,Henri Matisse,French,Male,1869,1954
"Plate 2 of 11, from the illustrated book, He Disappeared into Complete Silence",Prints & Illustrated Books,1999,Louise Bourgeois,American,Female,1911,2010
Sicily,Photography,1961,Bruce Davidson,American,Male,1933,1975
Mater Dolorosa from Essai dur l'histoire de la lithographie en France. Les Peintures lithographes de Manet à Matisse. Album de lithographies originales.,Prints & Illustrated Books,1924,Raphael Drouart,French,Male,1884,1975
Quälerei,Drawings,1974,A.R. Penck (Ralf Winkler),German,Male,1939,2017
Plate II from IMAGES OF ÉLOGES,Prints & Illustrated Books,1979,Helene Fesenmaier,American,Female,1937,2013
"Large Figure with an Organ Project, Axonometric",Architecture & Design,1977,Walter Pichler,Austrian,Male,1936,2012
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Four exterior elevations)",Architecture & Design,1944,Ludwig Mies van der Rohe,American,Male,1886,1969
Untitled,Drawings,2002,José Antonio Suárez Londoño,Colombian,Male,1955,1975
"Fifty by Fifty Feet House Project, Floor plan",Architecture & Design,1951,Ludwig Mies van der Rohe,American,Male,1886,1969
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Site-plan sketch",Architecture & Design,1964,Louis I. Kahn,American,Male,1901,1974
"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",Drawings,1984,Sherrie Levine,American,Female,1947,1975
The Ones That Got Away,Drawings,2003,Hernan Bas,American,Male,1978,1975
Tailpiece (page 48) from POÈMES,Prints & Illustrated Books,1933,Charles Despiau,French,Male,1874,1946
The Cat That Hated People,Film,1948,Tex Avery,American,Male,1908,1980
Swimmer Lost at Night (For Tom Hess),Painting & Sculpture,1978,Jennifer Bartlett,American,Female,1941,1975
"Jamie Watkins, Perkins",Photography,1991,Nicholas Nixon,American,Male,1947,1975
Untitled,Photography,1940,Rudy Burckhardt,American,Male,1914,1999
Screen Test: Susan Sontag,Film,1964,Andy Warhol,American,Male,1928,1987
Clear Vision,Prints & Illustrated Books,1973,Bruce Nauman,American,Male,1941,1975
FONTAINE MAUBUÉE. ANGLE RUE SIMON-LE-FRANC,Photography,1901,Eugène Atget,French,Male,1857,1927
"Peter Proednic, Perkins",Photography,1992,Nicholas Nixon,American,Male,1947,1975
BOUQUET (B),Prints & Illustrated Books,1961,Rikio Takahashi,Japanese,Male,1917,1999
Tailpiece (folio 70) from LES OEUVRES BURLESQUES ET MYSTIQUES DE FRÈRE MATOREL MORT AU COUVENT,Prints & Illustrated Books,1909,André Derain,French,Male,1880,1954
"Duplicate of in-text plate and initial M from page 205 (supplementary suite, plate 70) from LA BELLE ENFANT",Prints & Illustrated Books,1930,Raoul Dufy,French,Male,1877,1953
PORTRAIT OF TOULOUSE-LAUTREC,Prints & Illustrated Books,1890,Charles Maurin,French,Male,1856,1914
Plate 3 (folio 16) from Declaracion universal de derechos humanos,Prints & Illustrated Books,1984,Roberto Matta,Chilean,Male,1911,2002
Cross Painting,Painting & Sculpture,1982,Arnulf Rainer,Austrian,Male,1929,1975
"Variant of double page plate from pages 42 and 43 (supplementary suite, plate 5) from ÉQUATION",Prints & Illustrated Books,1987,Antoni Tàpies,Spanish,Male,1923,2012
02-Jan,Prints & Illustrated Books,1972,Milan Knížák,Czech,Male,1940,1975
"SILENUS (headpiece, page 54) from THE ECLOGUES",Prints & Illustrated Books,1919,Aristide Maillol,French,Male,1861,1944
Untitled from Flowers (Hand-Colored),Prints & Illustrated Books,1974,Andy Warhol,American,Male,1928,1987
"Arches, North Court, Mission San Xavier Del Bac, Tucson, Arizona",Photography,1968,Ansel Adams,American,Male,1902,1984
WINTER IN COYTESVILLE,Prints & Illustrated Books,1923,"George Overbury (""Pop"") Hart",American,Male,1868,1933
Untitled from Scribbles printed in four directions using four colors,Prints & Illustrated Books,1971,Sol LeWitt,American,Male,1928,2007
"Untitled (4), state II of III",Prints & Illustrated Books,1944,Jackson Pollock,American,Male,1912,1956
Aquella beata tenía (That pious person had),Drawings,1964,León Ferrari,Argentine,Male,1920,2013
Between the Scenes,Photography,1973,Allen Ruppersberg,American,Male,1944,1975
"Wolf House, Gubin, Poland (Section and plan: wall vitrine)",Architecture & Design,1926,Ludwig Mies van der Rohe,American,Male,1886,1969
Max Weber,Photography,1915,Gertrude LeRoy Brown,American,Female,1870,1934
Maurice Chavalier,Photography,1929,Edward Steichen,American,Male,1879,1973
LACHAND,Photography,1871,Charles Reutlinger,French,Male,1816,1880
Dilapidated Wall (Mur délabré) from the portfolio The Taker of Imprints (Le Preneur d'empreintes) from Phenomena (Les Phénomènes),Prints & Illustrated Books,1958,Jean Dubuffet,French,Male,1901,1985
A Trip to Zuñi: Zuñi Pueblo,Photography,1890,Ben Wittick,American,Male,1845,1903
"Ruins of the Convent of Las Monjas, Panama",Photography,1875,Eadweard J. Muybridge,American,Male,1830,1904
Plate (page 40) from POÈMES,Prints & Illustrated Books,1946,Henri Matisse,French,Male,1869,1954
Newfoundland Drawing,Drawings,1973,Ree Morton,American,Female,1936,1977
Plate (folio 28) from EL PA A LA BARCA,Prints & Illustrated Books,1963,Antoni Tàpies,Spanish,Male,1923,2012
Dying Soldier (Sterbender Soldat) from The War (Der Krieg),Prints & Illustrated Books,1924,Otto Dix,German,Male,1891,1969
"Novyi LEF. Zhurnal levogo fronta iskusstv, 11",Architecture & Design,1928,Aleksandr Rodchenko,Russian,Male,1891,1956
Virile Profile (Profil viril) (plate XXIII) from MATIÈRE ET MÉMOIRE OU LES LITHOGRAPHIES À L'ÉCOLE,Prints & Illustrated Books,1944,Jean Dubuffet,French,Male,1901,1985
(Untitled),Photography,1953,Kosti Ruohomaa,American,Unknown,1915,1975
Panthéon,Photography,1912,Eugène Atget,French,Male,1857,1927
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Prints & Illustrated Books,1914,Unknown,Unknown,Unknown,1915,1975
Moe otkrytie Ameriki,Prints & Illustrated Books,1926,Aleksandr Rodchenko,Russian,Male,1891,1956
"Trestle Bridge, at Whiteside from the album Photographic Views of Sherman's Campaign",Photography,1864,George Barnard,American,Male,1819,1902
"Casa La Villa, La Dehesa, Chile",Architecture & Design,1980,Juan Baixas,Chilean,Male,1942,1975
Plate (folio 11 verso) from DIECI POETI AMERICANI,Prints & Illustrated Books,1963,Angelo Savelli,Italian,Male,1911,1995
MAN,Photography,1963,Joel Meyerowitz,American,Male,1938,1975
Petit Trianon,Photography,1912,Eugène Atget,French,Male,1857,1927
"Duplicate of plate from page 21 (supplementary suite, plate 5) from LES VOIX",Prints & Illustrated Books,1963,Roberto Matta,Chilean,Male,1911,2002
Untitled,Prints & Illustrated Books,1999,Louise Bourgeois,American,Female,1911,2010
Double page frontispiece from LLULL,Prints & Illustrated Books,1985,Antoni Tàpies,Spanish,Male,1923,2012
The Skull Globe,Prints & Illustrated Books,1985,Raymond Pettibon,American,Male,1957,1975
Reality as a Stage Set,Photography,1965,Clarence John Laughlin,American,Male,1905,1985
Independence/Nakba,Photography,2013,Fazal Sheikh,American,Male,1965,1975
Donald's Double Trouble,Film,1946,Jack King,American,Unknown,1895,1958
"Reichsbank Project, Berlin-Mitte, Germany (Perspective view study of rear facade)",Architecture & Design,1933,Ludwig Mies van der Rohe,American,Male,1886,1969
Minette,Prints & Illustrated Books,1922,Max Beckmann,German,Male,1884,1950
In-text plate (page 101) from OEUVRES,Prints & Illustrated Books,1854,Gustave Doré,French,Male,1832,1883
Untitled,Prints & Illustrated Books,1962,Alexander Liberman,American,Male,1912,1999
"Agriculture: Studying the marsh, or, formation of soil by quiet water and plants",Photography,1899,Frances Benjamin Johnston,American,Female,1864,1952
Gorgona no. 8,Prints & Illustrated Books,1965,Gorgona artists group,Croatian,Unknown,1959,1966
Untitled,Prints & Illustrated Books,2002,Louise Bourgeois,American,Female,1911,2010
Tailpiece (folio 46 verso) from LES OEUVRES BURLESQUES ET MYSTIQUES DE FRÈRE MATOREL MORT AU COUVENT,Prints & Illustrated Books,1909,André Derain,French,Male,1880,1954
"Marilyn Monroe I Love Your Kiss Forever Forever (double page headpiece, pages 112 and 113) from 1¢ Life",Prints & Illustrated Books,1964,Andy Warhol,American,Male,1928,1987
"Zemphira, costume design for Aleko (Scene I)",Drawings,1942,Marc Chagall,French,Male,1887,1985
"THE CAKE OF KINGS (plate, page 8) from ALMANACH DE COCAGNE: Pour l'an 1921",Prints & Illustrated Books,1920,Pierre Roy,French,Male,1880,1950
"Waiting Room, Baroness Erlanger Hospital, Chattanooga, Tennessee",Photography,1975,Rosalind Fox Solomon,American,Female,1930,1975
Washington,Photography,1954,Elliott Erwitt,American,Male,1928,1975
The Creature from the House,Photography,1938,Clarence John Laughlin,American,Male,1905,1985
My Secret Life,Prints & Illustrated Books,2007,Louise Bourgeois,American,Female,1911,2010
Learn to Read Art,Prints & Illustrated Books,2009,Aleksandra Mir,American,Female,1967,1975
"Convention Hall project, Cermak Road, Chicago, IL (Structural model of preliminary scheme)",Architecture & Design,1953,Ludwig Mies van der Rohe,American,Male,1886,1969
Untitled from Cardinations,Prints & Illustrated Books,1974,Jo Baer,American,Female,1929,1975
"Morton, Mississippi",Photography,1972,William Eggleston,American,Male,1939,1975
Untitled,Photography,1978,Nair Benedicto,Brazilian,Female,1940,1975
Printer's proof for cover for Avtomobil' i upravlenie im (The Automobile and Driving It),Prints & Illustrated Books,1928,Nikolai Sedel'nikov,Russian,Male,1905,1994
Jack and Jill,Prints & Illustrated Books,1921,"George Overbury (""Pop"") Hart",American,Male,1868,1933
Hollow Form (Penwith),Painting & Sculpture,1955,Barbara Hepworth,British,Female,1903,1975
"Who, Where, When, Why, What",Prints & Illustrated Books,1999,Louise Bourgeois,American,Female,1911,2010
Plate (folio 12) from RECOLLECTION,Prints & Illustrated Books,1966,Fritz Glarner,American,Male,1899,1972
Still Life from The Metropolitan Scene,Prints & Illustrated Books,1968,Roy Lichtenstein,American,Male,1923,1997
"STOOR-WORM (plate, folio 24) from THE SCOTTISH BESTIARY",Prints & Illustrated Books,1986,Bruce McLean,British,Male,1944,1975
Twosome,Prints & Illustrated Books,2002,Louise Bourgeois,American,Female,1911,2010
Untitled from Electric Chairs,Prints & Illustrated Books,1971,Andy Warhol,American,Male,1928,1987
"Konkretionen, Material 3",Fluxus Collection,1958,Emmett Williams,American,Male,1925,2007
Post Nirvana,Prints & Illustrated Books,1971,Yutaka Matsuzawa,Japanese,Male,1922,2006
Raiders of the Lost Ark,Film,1981,Steven Spielberg,American,Male,1946,1975
Cupids and Fans,Prints & Illustrated Books,1981,Robert Kushner,American,Male,1949,1975
The Bullfighters,Prints & Illustrated Books,1954,Knut Rumohr,Norwegian,Male,1916,2002
Window,Photography,1920,Pierre Betz,French,Male,1899,1969
Untitled,Drawings,1964,Frank Stella,American,Male,1936,1975
Metamorphosis 601,Photography,1936,Helmar Lerski,Swiss,Male,1871,1956
Independence/Nakba,Photography,2013,Fazal Sheikh,American,Male,1965,1975
Untitled from Fluxus 1,Prints & Illustrated Books,1964,Unknown,Unknown,Unknown,1915,1975
Mask of John Lennon,Prints & Illustrated Books,1970,George Maciunas,American,Male,1931,1978
"Plate (folio 5) from Six Geometric Figures and All Their Combinations, Volume I",Prints & Illustrated Books,1980,Sol LeWitt,American,Male,1928,2007
N. B. O. G. z B. SANATORIUM VII,Prints & Illustrated Books,1964,Josef Gielniak,Polish,Male,1932,1972
LYCÉE CONDORÇET. RUE CAUMARTIN 65,Photography,1913,Eugène Atget,French,Male,1857,1927
Sarabande,Film,2008,Nathaniel Dorsky,American,Male,1943,1975
IN A SHOP WINDOW,Prints & Illustrated Books,1963,Masuo Ikeda,Japanese,Male,1934,1997
Manuscript of Rekord nezhnosti: Zhitie Il'ia Zdanevicha (Record of Tenderness: Hagiography of Il'ia Zdanevich),Prints & Illustrated Books,1919,Igor' Terent'ev,Russian,Male,1892,1937
Portrait - Old Lady,Photography,1951,Paul Strand,American,Male,1890,1976
"BELL TOWER OF SAINT CYR SOUS DOURDAN (plate; volume I, page 41) from LES GÉORGIQUES (GEORGICA)",Prints & Illustrated Books,1940,André Dunoyer de Segonzac,French,Male,1884,1974
Cancellation proof for What Is This Picasso? from The Blue Guitar,Prints & Illustrated Books,1977,David Hockney,British,Male,1937,1975
Untitled from Spirit Cooking,Prints & Illustrated Books,1996,Marina Abramović,Yugoslav,Female,1946,1975
Trongate in the Olden Time,Photography,1868,Thomas Annan,British,Male,1829,1887
Permanently,Prints & Illustrated Books,1960,Alfred Leslie,American,Male,1927,1975
The Steerage,Photography,1907,Alfred Stieglitz,American,Male,1864,1946
ROUEN -- LE LYCÉE,Photography,1907,Eugène Atget,French,Male,1857,1927
La Cité-Notre-Dame,Prints & Illustrated Books,1937,Henri Matisse,French,Male,1869,1954
Macau Bridge,Photography,1993,Wolfgang Tillmans,German,Male,1968,1975
Paper Dolls,Film,1975,Cindy Sherman,American,Female,1954,1975
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Prints & Illustrated Books,1914,Unknown,Unknown,Unknown,1915,1975
Ancien couvent des Carmes. Rue de Vaugirard 70,Photography,1917,Eugène Atget,French,Male,1857,1927
Momma's Man,Film,2008,Azazel Jacobs,American,Male,1972,1975
Cubitainer Recessed Plug and Closure Containers,Architecture & Design,1955,Thomas W. Winstead,American,Male,1918,1975
Untitled,Prints & Illustrated Books,1995,Julian Lethbridge,British,Male,1947,1975
Banana. Costume design for the ballet H.P. (Horsepower),Drawings,1927,Diego Rivera,Mexican,Male,1886,1957
Glass Partition with Door (Perspective sketch),Architecture & Design,1936,Ludwig Mies van der Rohe,American,Male,1886,1969
"""The Chains are Broken"": Young Girls Bearing in the Streets of Petrograd Sections of Chains from the Prisons of the Romanoff Regime",Photography,1917,London Daily Mirror,Unknown,Unknown,1915,1975
Fusses (Affairements),Prints & Illustrated Books,1964,Jean Dubuffet,French,Male,1901,1985
Form + Ideology,Film,1977,Michael Oblowitz,South African,Male,1915,1975
Fat,Prints & Illustrated Books,1926,Peggy Bacon,American,Female,1895,1987
"Plate (suite, plate 5) from THE PLAIN OF SMOKES",Prints & Illustrated Books,1980,Ken Price,American,Male,1935,2012
"Just About to Step Into the Bus for the Assembly Center, San Francisco",Photography,1942,Dorothea Lange,American,Female,1895,1965
Peggy's Blue Skylight,Film,1964,Joyce Wieland,Canadian,Female,1931,1998
Drapery Fabric,Architecture & Design,1907,Richard Riemerschmid,German,Male,1868,1957
Charis,Photography,1942,Edward Weston,American,Male,1886,1958
Willard's Foot,Photography,1945,Barbara Morgan,American,Female,1900,1992
Cane,Prints & Illustrated Books,2000,Martin Puryear,American,Male,1941,1975
"Collage, 269",Drawings,1949,Anne Ryan,American,Female,1889,1954
RAGLAN CASTLE,Photography,1859,Alfred Capel Cure,British,Male,1826,1896
Macchu-Piccho,Prints & Illustrated Books,1966,Hundertwasser (Friedrich Stowasser),Austrian,Male,1928,2000
Maquette for Right Profile (Profile à droite),Prints & Illustrated Books,1961,Jean Dubuffet,French,Male,1901,1985
"Old Jail, Smithville, Georgia",Photography,1976,William Eggleston,American,Male,1939,1975
Love Letter to Doug from The Hundred Videos,Media and Performance Art,1994,Steve Reinke,Canadian,Male,1963,1975
"Parisian (Parisienne) from L'Estampe moderne, no. 20",Prints & Illustrated Books,1898,P. C. Helleu,French,Male,1859,1927
"Pinball House, Los Angeles, CA (Plan)",Architecture & Design,1980,Eric Owen Moss,American,Male,1943,1975
Untitled,Drawings,1997,Lee Bontecou,American,Female,1931,1975
"Study for Sinnorama #1, #2, #3",Drawings,1990,Jim Shaw,American,Male,1952,1975
"Untitled, no. 67 of 69, from the illustrated book, Album",Prints & Illustrated Books,1994,Louise Bourgeois,American,Female,1911,2010
TV Antennae,Prints & Illustrated Books,1953,Ben Shahn,American,Male,1898,1969
The Feeding,Drawings,2007,Louise Bourgeois,American,Female,1911,2010
Guitar Wolf,Drawings,1996,Yoshitomo Nara,Japanese,Male,1959,1975
No (2),Prints & Illustrated Books,1973,Louise Bourgeois,American,Female,1911,2010
Poirier. Sucy-en-Brie,Photography,1905,Eugène Atget,French,Male,1857,1927
PROVINS (VIEILLE MAISON),Photography,1923,Eugène Atget,French,Male,1857,1927
"Untitled, plate 6 of 15, from the series, Nature Study",Prints & Illustrated Books,2009,Louise Bourgeois,American,Female,1911,2010
Donnerstagvorträge im Februar,Architecture & Design,1951,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
Plate from Portrait of Antonin Artaud,Prints & Illustrated Books,1968,Lucio Fontana,Italian,Male,1899,1968
Analogue,Photography,2003,Zoe Leonard,American,Female,1961,1975
"Yosemite Valley, Clearing Thunderstorm, from Tunnel Esplanade, California",Photography,1972,Ansel Adams,American,Male,1902,1984
Dying People in the Bush,Drawings,1962,Thomas Mukarobgwa,Zimbabwean,Male,1924,1999
Park,Prints & Illustrated Books,1925,Walt Kuhn,American,Male,1877,1949
"Untitled from the series Six Geometric Figures, Superimposed in Pairs",Prints & Illustrated Books,1977,Sol LeWitt,American,Male,1928,2007
Pictorial initial L (folio 17 verso) from LE BESTIAIRE,Prints & Illustrated Books,1948,Roger Chastel,French,Male,1897,1981
"The Park (Le Parc) from L'Estampe moderne, no. 3",Prints & Illustrated Books,1897,G. de Latenay,French,Male,1859,1943
Abstract Painting,Painting & Sculpture,1963,Ad Reinhardt,American,Male,1913,1967
Lapeyrouse Wall,Drawings,2004,Peter Doig,British,Male,1959,1975
New York City,Photography,1965,Lee Friedlander,American,Male,1934,1975
MEN AT THE TABLE,Prints & Illustrated Books,1931,Leopoldo Méndez,Mexican,Male,1902,1969
My Blind,Painting & Sculpture,1946,Roberto Matta,Chilean,Male,1911,2002
"MOUNT SERBÁL, FROM THE WÁDEE FEYRÁN (Plate 2)",Photography,1859,Francis Frith,British,Male,1822,1898
"Gothic Houses, Salem, Massachusetts",Photography,1932,Walker Evans,American,Male,1903,1975
"The Battle of the Jews (Der Kampf der Juden) (plate, folio 32) from Das Buch Judith (The Book of Judith)",Prints & Illustrated Books,1910,Lovis Corinth,German,Male,1858,1925
"Progressive proof of first 3 colors for Plate 4 (supplementary suite, plate 45) from FOUR TALES FROM THE ARABIAN NIGHTS",Prints & Illustrated Books,1944,Marc Chagall,French,Male,1887,1985
Tafel met stilleven from The Archives: Art Information Centre Peter Van Beveren,Prints & Illustrated Books,1981,Klaas Gubbels,Dutch,Male,1934,1975
"Texas State Fair, Dallas. (woman sitting on wood curb, young boy in cowboy shirt)",Photography,1964,Garry Winogrand,American,Male,1928,1984
"Detail of a Frame House in Ossining, New York",Photography,1931,Walker Evans,American,Male,1903,1975
Benny and Mary Ellen Andrews,Painting & Sculpture,1972,Alice Neel,American,Female,1900,1984
Sarx,Prints & Illustrated Books,1977,Gérard Titus-Carmel,French,Male,1942,1975
"PANNA JADVIGA ON A BOAT (in-text plate, page 72) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Prints & Illustrated Books,1910,Jules Pascin,American,Male,1885,1930
Cow,Painting & Sculpture,1929,Alexander Calder,American,Male,1898,1976
Tailpiece (page 19) from POÈMES,Prints & Illustrated Books,1939,Maurice Denis,French,Male,1870,1943
The World War,Painting & Sculpture,1916,Max Oppenheimer (MOPP),American,Male,1885,1954
"Amherst, Massachusetts",Photography,1971,Lee Friedlander,American,Male,1934,1975
Chocolate Utopian Underground City with Yellow Inner Structure Station with Square Grid under Construction Safety Chrysalis and Abandon Square Habitat with White Expulsion Area and Central White Mine Tunnel Transportation Center,Drawings,2003,Dannielle Tegeder,American,Female,1971,1975
"Why Should There Not Exist a World Composed of Invisible, Odd, Fantastic, Embryonic Beings? (Pourquoi n'existerait-il pas un monde composé d'êtres invisibles, bizarres, fantastiques, embryonnaires?) (plate) from Le Juré",Prints & Illustrated Books,1887,Odilon Redon,French,Male,1840,1916
THE CAPSULE from the portfolio APOCALYPSE,Prints & Illustrated Books,1961,Sid Hammer,American,Male,1926,1969
Plate (page 141) from FLORILÈGE DES AMOURS,Prints & Illustrated Books,1944,Henri Matisse,French,Male,1869,1954
Transfer Node,Architecture & Design,1966,Jorge Rigamonti,Venezuelan,Unknown,1940,2008
Untitled,Prints & Illustrated Books,1967,Maryan S. Maryan,American,Male,1927,1977
Pelican Man,Drawings,2003,Peter Doig,British,Male,1959,1975
"LEF. Zhurnal levogo fronta iskusstv, nos. 2 and 3",Prints & Illustrated Books,1923,Aleksandr Rodchenko,Russian,Male,1891,1956
Plate (page 205) from LE SATIRICON,Prints & Illustrated Books,1948,Othon Friesz,French,Male,1879,1949
Zen for Head,Fluxus Collection,1962,Nam June Paik,American,Male,1932,2006
Coffee Thyme,Painting & Sculpture,1977,Sam Gilliam,American,Male,1933,1975
RUE DU CHEVALIER-DE-LA-BARRE,Photography,1924,Eugène Atget,French,Male,1857,1927
"OGV-Blackviolet from Untitled (OGV-Blackviolet, OGV-Blackgreen, and OGV-Blackorange)",Prints & Illustrated Books,2007,Dan Walsh,American,Male,1960,1975
Untitled from Cuban Sketch Book,Drawings,1917,Jules Pascin,American,Male,1885,1930
Untitled,Prints & Illustrated Books,1984,Sam Francis,American,Male,1923,1994
Das Kind und Seine Welt,Architecture & Design,1962,Jörg Hamburger,Swiss,Male,1935,1975
Untitled from Poem Posters,Prints & Illustrated Books,1964,Charles Henri Ford,American,Male,1908,2002
Personal Velocity: Three Portraits,Film,2002,Rebecca Miller,American,Female,1962,1975
Le Père et les 3 Fils,Prints & Illustrated Books,1998,Louise Bourgeois,American,Female,1911,2010
Untitled,Drawings,1984,Gianni Dessi,Italian,Male,1955,1975
"Album cover for Liquid Liquid, Slip In and Out of Phenomenon",Architecture & Design,2008,Richard McGuire,American,Male,1957,1975
Plate (folio 16) from ESCALES,Prints & Illustrated Books,1920,André Lhote,French,Male,1885,1962
"Jimmy, Easter Sunday",Photography,1983,Jerry Berndt,American,Male,1943,2013
Plate (folio 10) from 20 ORIGINALRADIERUNGEN,Prints & Illustrated Books,1967,Karl Bohrmann,German,Male,1928,1998
"Plate IV (folio 15) from LA BAGUE D'AURORE, Suite",Prints & Illustrated Books,1957,Joan Miró,Spanish,Male,1893,1983
Plate (folio 32) from Geometric Figures within Geometric Figures,Prints & Illustrated Books,1976,Sol LeWitt,American,Male,1928,2007
Composition,Painting & Sculpture,1926,Lajos D'Ebneth,Hungarian,Male,1902,1982
Terry Riley vocal score for Circle the Mountain,Media and Performance Art,1985,Terry Riley,American,Male,1935,1975
Plate (page 118) from CIRQUE DE L'ÉTOILE FILANTE,Prints & Illustrated Books,1932,Georges Rouault,French,Male,1871,1958
Exposition d'Œuvres d'Alphonse Lévy,Architecture & Design,1897,Alphonse Levy,French,Male,1843,1918
"Bièvres, place de l'Eglise",Photography,1924,Eugène Atget,French,Male,1857,1927
Architecture Panoramas,Photography,1971,Jan Dibbets,Dutch,Male,1941,1975
Untitled #210,Prints & Illustrated Books,2003,José Antonio Suárez Londoño,Colombian,Male,1955,1975
Two Mexican Children,Photography,1932,Anton Bruehl,American,Male,1900,1982
"Sketchbook: El Golea, II",Drawings,1948,Jean Dubuffet,French,Male,1901,1985
"Seville, Spain",Photography,1933,Henri Cartier-Bresson,French,Male,1908,2004
Wind Radio from Fluxkit,Prints & Illustrated Books,1965,Joe Jones,American,Male,1934,1993
Satisfied Man,Prints & Illustrated Books,2015,Kerry James Marshall,American,Male,1955,1975
Plate (folio 28) from CENTURY OF THE COMMON MAN,Prints & Illustrated Books,1943,Hugo Gellert,American,Male,1892,1985
Asnova,Architecture & Design,1926,El Lissitzky,Russian,Male,1890,1941
Calculator,Architecture & Design,1983,Paulus van Leeuwen,Dutch,Male,1955,1975
"Berlin, die Sinfonie der Grossstadt",Film,1927,Walther Ruttmann,German,Male,1887,1941
Untitled (page 18) from ENDOCRINOLOGY,Prints & Illustrated Books,1997,Kiki Smith,American,Female,1954,1975
Shrug of the Shoulder,Photography,1935,John Gutmann,American,Male,1905,1998
"Campesino, Venezuela",Photography,1960,Dorothea Lange,American,Female,1895,1965
"Untitled, Programme 2 from Ian Breakwell's Continuous Diary",Media and Performance Art,1986,Ian Breakwell,British,Male,1943,2005
A Door,Photography,1972,Vladimir Borissovitch Yankilevsky,Russian,Unknown,1938,1975
Rain Falling on Water,Prints & Illustrated Books,2003,Louise Bourgeois,American,Female,1911,2010
Poster of the French National Railroad,Architecture & Design,1921,Album-miscellaneous,Various,Unknown,1915,1975
Fireworks on the Night of Longchamp,Photography,1936,Brassaï (Gyula Halász),French,Male,1899,1984
"Head with Pipe, E.N. (Kopf mit Pfeife, E.N.)",Prints & Illustrated Books,1907,Emil Nolde,German,Male,1867,1956
"Untitled, plate 1 of 5, from the illustrated book, The Laws of Nature",Prints & Illustrated Books,2000,Louise Bourgeois,American,Female,1911,2010
Untitled from Coyote Stories,Prints & Illustrated Books,2005,Chris Burden,American,Male,1946,2015
Postal Dossier (Dossier postale),Prints & Illustrated Books,1969,Alighiero Boetti,Italian,Male,1940,1994
The saw mill: From the raft to the saw,Photography,1899,Frances Benjamin Johnston,American,Female,1864,1952
Black Dress from S.M.S. No. 1,Prints & Illustrated Books,1968,James Lee Byars,American,Male,1932,1997
Spectacles,Prints & Illustrated Books,1961,Jean Dubuffet,French,Male,1901,1985
"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962",Prints & Illustrated Books,1962,Ben Vautier,French,Male,1935,1975
In Tibet,Painting & Sculpture,1964,Günter Haese,German,Male,1924,1975
"Plate 5 from L'AVANGUARDIA INTERNAZIONALE, Volume 2/L'AVANT-GARDE INTERNATIONALE, Volume 2/THE INTERNATIONAL AVANT-GARDE, Volume 2",Prints & Illustrated Books,1962,Guy Harloff,French,Male,1933,1991
"Stray Dog, Misawa",Photography,1971,Daido Moriyama,Japanese,Male,1938,1975
HÔTEL DES AMBASSADEURS. 47 RUE VIEILLE-DU-TEMPLE,Photography,1900,Eugène Atget,French,Male,1857,1927
"Invitation to performance at Mobilia, Denmark, July 24-26, 1964",Fluxus Collection,1964,Arthur Köpcke,German,Male,1928,1977
BLACK VULTURE,Prints & Illustrated Books,1958,Alistair Macready Bell,Canadian,Male,1913,1997
PH Artichoke Lamp,Architecture & Design,1958,Poul Henningsen,Danish,Male,1894,1967
"MOB OF PEASANTS, plate XXVIII (facing page 114) from LES ÂMES MORTES",Prints & Illustrated Books,1935,Marc Chagall,French,Male,1887,1985
