Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
Tube,Media and Performance Art,1982,Roman Signer,Swiss,Male,1938,1975
In-text plate (page 78) from LYSISTRATA,Prints & Illustrated Books,1909,František Kupka,Czech,Male,1871,1957
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Architecture & Design,1934,Lilly Reich,German,Female,1885,1947
Plate (page 44) from PARADISE GARDEN,Prints & Illustrated Books,1971,Sidney Nolan,Australian,Male,1917,1992
"SALUTATIONS, SENOR!",Prints & Illustrated Books,1926,"George Overbury (""Pop"") Hart",American,Male,1868,1933
NUMBER 12,Prints & Illustrated Books,1960,Antoni Tàpies,Spanish,Male,1923,2012
"50,000 Meals Served (50,000 Cubiertos)",Prints & Illustrated Books,1939,José Chávez Morado,Mexican,Male,1909,2002
In-text plate (page 68) from LE VOYAGE D'URIEN,Prints & Illustrated Books,1893,Maurice Denis,French,Male,1870,1943
Kaleidoscope #2 (Furnishing fabric),Architecture & Design,1952,Herbert Bayer,American,Male,1900,1985
Nations,Prints & Illustrated Books,2007,Slavs and Tatars,Unknown,Unknown,2005,1975
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",Prints & Illustrated Books,1940,André Dunoyer de Segonzac,French,Male,1884,1974
"The Brown Sisters, Marblehead, Massachusetts",Photography,1995,Nicholas Nixon,American,Male,1947,1975
Linear Still Life,Drawings,1973,William Scott,British,Male,1913,1989
Blind Man and His Son (Homem cego e seu filho),Prints & Illustrated Books,1939,Candido Portinari,Brazilian,Male,1903,1962
"Street, Berlin",Painting & Sculpture,1913,Ernst Ludwig Kirchner,German,Male,1880,1938
The Song of the Shirt,Film,1908,David Wark Griffith,American,Male,1874,1948
Architecture Panoramas,Photography,1971,Jan Dibbets,Dutch,Male,1941,1975
Kazimierz Malewicz 1876-1935,Prints & Illustrated Books,1936,Wladyslaw Strzemiński,Polish,Male,1893,1952
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Architecture & Design,1960,Winfred Gaul,German,Male,1928,2003
Hospital Event Label,Prints & Illustrated Books,1975,George Maciunas,American,Male,1931,1978
"Washington, D.C.",Photography,1976,Lee Friedlander,American,Male,1934,1975
Deeparture,Media and Performance Art,2005,Mircea Cantor,Romanian,Male,1977,1975
Programy skolskeho rozhlasu,Architecture & Design,1933,Augustin Tschinkel,Czech,Male,1905,1975
Plate (folio 19) from KAFKA,Prints & Illustrated Books,1957,Roger Chancel,French,Male,1898,1976
Lassaw at Kootz Gallery,Architecture & Design,1960,Elaine Lustig Cohen,American,Female,1927,2016
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Photography,1982,Judith Joy Ross,American,Female,1946,1975
"View from Hotel Window--Butte, Montana",Photography,1956,Robert Frank,American,Male,1924,1975
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Prints & Illustrated Books,1910,Jules Pascin,American,Male,1885,1930
UNTITLED (SQUARE YELLOW SPIRAL),Drawings,1983,Paul Thek,American,Male,1933,1988
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Prints & Illustrated Books,1972,Larry Rivers,American,Male,1923,2002
So What!,Prints & Illustrated Books,1969,Christian Fossier,French,Male,1943,2013
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Prints & Illustrated Books,1965,Michel Guino,French,Male,1926,2013
Trinket,Prints & Illustrated Books,1919,Arthur B. Davies,American,Male,1862,1928
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Prints & Illustrated Books,1935,Marc Chagall,French,Male,1887,1985
Untitled (white lines),Architecture & Design,1973,Lauretta Vinciarelli,Italian,Female,1943,2012
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Prints & Illustrated Books,1919,Aristide Maillol,French,Male,1861,1944
Mrs. Beatrice Baxter Ruyl and Infant,Photography,1905,Gertrude Käsebier,American,Female,1852,1934
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Prints & Illustrated Books,1918,Jean (Hans) Arp,French,Male,1886,1966
Topiary,Drawings,1997,Louise Bourgeois,American,Female,1911,2010
"Ruins of the Church of Las Monjas, Old Panama",Photography,1875,Eadweard J. Muybridge,American,Male,1830,1904
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Photography,1907,Eugène Atget,French,Male,1857,1927
Reclining Chair without Arms (Perspective sketch),Architecture & Design,1936,Ludwig Mies van der Rohe,American,Male,1886,1969
Ileana from Ruminations,Prints & Illustrated Books,1999,Robert Rauschenberg,American,Male,1925,2008
Luz Seated (to the right),Prints & Illustrated Books,1929,Jean Charlot,American,Male,1898,1979
"Untitled, from the series Come Sunday",Photography,1992,Thomas Roma,American,Male,1950,1975
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Photography,1971,Stephen Shames,American,Male,1947,1975
Wear Your Goggles,Architecture & Design,1942,Pat Keely,British,Male,1915,1975
Ballet poster,Architecture & Design,1933,André Masson,French,Male,1896,1987
Fingerprint,Prints & Illustrated Books,1965,Robert Watts,American,Male,1923,1988
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,Architecture & Design,1936,J. Briones,Spanish,Unknown,1915,1975
Untitled from Woodcuts,Prints & Illustrated Books,2011,Thomas Schütte,German,Male,1954,1975
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Prints & Illustrated Books,1978,Marc Chagall,French,Male,1887,1985
New York I,Photography,1951,Aaron Siskind,American,Male,1903,1991
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Architecture & Design,1926,Ludwig Mies van der Rohe,American,Male,1886,1969
Ode à l'Oubli,Prints & Illustrated Books,2004,Louise Bourgeois,American,Female,1911,2010
Two Figures,Prints & Illustrated Books,1919,Max Weber,American,Male,1881,1961
Instruction No. 2 from Fluxkit,Prints & Illustrated Books,1965,Benjamin Patterson,American,Male,1934,2016
Untitled,Photography,1937,Unknown,Unknown,Unknown,1915,1975
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Prints & Illustrated Books,1991,Bruce Conner,American,Male,1933,2008
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Prints & Illustrated Books,1924,Georges Rouault,French,Male,1871,1958
"Cloud Rock (plate, page 78) from 1¢ Life",Prints & Illustrated Books,1964,Sam Francis,American,Male,1923,1994
Untitled from an untitled portfolio,Prints & Illustrated Books,1969,Mateo Manaure,Venezuelan,Male,1926,2018
Untitled from Traces of anonymous pupil authors,Prints & Illustrated Books,2001,Haegue Yang,Korean,Female,1971,1975
Tailpiece (page 81) from ODES,Prints & Illustrated Books,1953,André Derain,French,Male,1880,1954
Salt Lake City,Photography,1965,Lee Friedlander,American,Male,1934,1975
Château de Bagatelle,Photography,1913,Eugène Atget,French,Male,1857,1927
Tailpiece (page 171) from L'ODYSSÉE,Prints & Illustrated Books,1930,Émile Bernard,French,Male,1868,1941
The Orchestra,Prints & Illustrated Books,1905,Walter Richard Sickert,British,Male,1860,1942
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Prints & Illustrated Books,2010,Louise Bourgeois,American,Female,1911,2010
Untitled from Farewell,Prints & Illustrated Books,1992,Moshe Gershuni,Israeli,Male,1936,2017
"Midway Gardens, Chicago, IL",Architecture & Design,1913,Frank Lloyd Wright,American,Male,1867,1959
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Prints & Illustrated Books,1943,Marc Chagall,French,Male,1887,1985
She-Paul-A-Wee,Photography,1875,William Henry Jackson,American,Male,1843,1942
Volcano,Media and Performance Art,1989,Roman Signer,Swiss,Male,1938,1975
Palmolive,Prints & Illustrated Books,1962,George Brecht,American,Male,1926,2008
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Prints & Illustrated Books,2010,Kelley Walker,American,Male,1969,1975
Portrait of Mies from Fluxus 1,Prints & Illustrated Books,1964,George Maciunas,American,Male,1931,1978
Great Builders II,Prints & Illustrated Books,1927,Jean Charlot,American,Male,1898,1979
Motherfucker from The Bad Habits,Prints & Illustrated Books,1997,Lisa Yuskavage,American,Female,1962,1975
"Entrance to Rockcut Dwelling, Bandelier National Monument",Photography,1962,William R. Current,American,Male,1923,1975
Three Kids and a Sled,Photography,1940,Philip Fein,American,Male,1912,1994
Study of Kuang Kung,Prints & Illustrated Books,1952,Seong Moy,American,Male,1921,2013
Abacus (Furnishing fabric),Architecture & Design,1946,Paul Rand,American,Male,1914,1996
Venezuela,Photography,1960,Dorothea Lange,American,Female,1895,1965
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Photography,1900,Eugène Atget,French,Male,1857,1927
Sky Backdrop,Painting & Sculpture,2013,Alex Israel,American,Male,1982,1975
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),Prints & Illustrated Books,1928,El Lissitzky,Russian,Male,1890,1941
New York City,Photography,1978,Lee Friedlander,American,Male,1934,1975
Progressive IV for VENTRILOQUIST,Prints & Illustrated Books,1986,Jasper Johns,American,Male,1930,1975
Untitled,Photography,1899,Eugène Atget,French,Male,1857,1927
Plate (facing page 118) from SAINTE MONIQUE,Prints & Illustrated Books,1925,Pierre Bonnard,French,Male,1867,1947
Museum,Drawings,1932,Peter Blume,American,Male,1906,1992
Folio,Prints & Illustrated Books,1985,Terry Winters,American,Male,1949,1975
Duino,Painting & Sculpture,1966,César Paternosto,Argentine,Male,1931,1975
Unmade Bed,Painting & Sculpture,1968,Joe Goode,American,Male,1937,1975
#2 from an untitled series,Prints & Illustrated Books,1974,Larry Bell,American,Male,1939,1975
Untitled from Notes on a Room,Prints & Illustrated Books,1998,Richard Artschwager,American,Male,1923,2013
Untitled,Drawings,2000,Dan McCarthy,American,Male,1962,1975
Untitled,Painting & Sculpture,2006,Wade Guyton,American,Male,1972,1975
"French Embassy Staff Quarters, New Delhi, India",Architecture & Design,1967,Raj Rewal,Indian,Male,1934,1975
Plate (folio 9) from HIOB,Prints & Illustrated Books,1965,Hella Fischer-Thorer,German,Female,1928,1978
Z. I. Gorbovets. Graviury na dereve,Prints & Illustrated Books,1927,Zinovii Gorbovets,Unknown,Unknown,1915,1975
Lapeyrouse Wall,Painting & Sculpture,2004,Peter Doig,British,Male,1959,1975
The Language of Fashion (El lenguaje de la moda),Drawings,1979,Juan Luis Martinez,Chilean,Male,1942,1993
